StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q109,Q1,Q125,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q4,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,Q145,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,Q156,Q157_First Click,Q157_Last Click,Q157_Page Submit,Q157_Click Count,Q167,Q168_First Click,Q168_Last Click,Q168_Page Submit,Q168_Click Count,Q178,Q179_First Click,Q179_Last Click,Q179_Page Submit,Q179_Click Count,Q225,Q226_First Click,Q226_Last Click,Q226_Page Submit,Q226_Click Count,Q227,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,Q229,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,Q231,Q232_First Click,Q232_Last Click,Q232_Page Submit,Q232_Click Count,Q5_1,Q225,Q228,Q229,Q230,Q227,Q226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy2,tempo2,Q62_1,"2.     Il potere detenuto dai capi di stato è
subordinato a quello di un gruppo sconosciuto che controlla realmente le
politiche mondiali - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy3,tempo2,Q63_1,"3.     Ci sono organizzazioni segrete che comunicano
con gli extraterrestri, ma tengono nascosto questo fatto alla popolazione - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy4,tempo2,Q64_1,"4.     La diffusione di alcuni virus e/o malattie è
il risultato di sforzi deliberati e nascosti di alcune organizzazioni. - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy5,tempo2,Q83_1,"5.     Gruppi di scienziati manipolano, fabbricano o
censurano evidenze allo scopo di ingannare la popolazione. - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy6,tempo2,Q66_1,"6.     Il governo permette o perpetra atti di
terrorismo sul proprio territorio, mascherando il suo coinvolgimento. - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy7,tempo2,Q67_1,"7.     Un piccolo gruppo segreto di persone è il
responsabile di tutte le maggiori decisioni mondiali, come il far scoppiare le
guerre - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy8,tempo2,Q68_1,"8.     La prova del contatto alieno è stata nascosta
alla popolazione - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy9,tempo2,Q69_1,"9.     Tecnologie con capacità di controllo mentale
sono usate sulle persone senza che lo sappiano - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy10,tempo2,Q74_1,"10.  Nuove ed avanzate tecnologie che
danneggerebbero l’attuale industria sono state soppresse - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy11,tempo2,Q75_1,"11.  Il governo usa persone come capri espiatori
per nascondere il suo coinvolgimento in attività criminali - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy12,tempo2,Q76_1,"12.  Alcuni fatti significativi sono stati il
risultato dell’attività di un piccolo gruppo che segretamente manipola eventi
mondiali - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy13,tempo2,Q77_1,"13.  Alcuni avvistamenti e dicerie sugli UFO sono
stati pianificati o messi in scena allo scopo di distrarre la popolazione dal
vero contatto alieno - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy14,tempo2,Q80_1,"14.  Esperimenti che coinvolgono nuovi farmaci o
tecnologie sono quotidianamente portati avanti alle spalle della popolazione,
senza il loro consenso - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conspiracy15,tempo2,Q81_1,"15.  Molte informazioni importanti sono
deliberatamente nascoste al pubblico per interessi personali - è probabile che questa affermazione sia vera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genere,,Q91,Genere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eta,,Q38,Età (in cifre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orientamento,,Q40_1,Come consideri il tuo orientamento politico?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
